,Start,End
0,2018-12-03 21:20:15.143921,2018-12-03 21:20:15.997999
1,2018-12-03 21:20:17.982957,2018-12-03 21:20:19.309604
2,2018-12-03 21:20:19.989963,2018-12-03 21:20:20.323062
3,2018-12-03 21:20:20.453132,2018-12-03 21:20:20.580071
4,2018-12-03 21:20:22.701222,2018-12-03 21:20:31.205980
5,2018-12-03 21:20:31.330741,2018-12-03 21:20:31.668124
6,2018-12-03 21:20:32.589989,2018-12-03 21:20:42.547091
7,2018-12-03 21:20:48.132621,2018-12-03 21:20:48.323449
8,2018-12-03 21:20:48.387107,2018-12-03 21:21:11.364971
9,2018-12-03 21:21:11.428544,2018-12-03 21:21:15.812406
10,2018-12-03 21:21:16.214744,2018-12-03 21:21:16.403489
11,2018-12-03 21:21:16.470883,2018-12-03 21:21:16.733359
12,2018-12-03 21:21:18.252298,2018-12-03 21:21:18.468222
13,2018-12-03 21:21:18.534076,2018-12-03 21:21:19.667898
14,2018-12-03 21:21:19.731861,2018-12-03 21:21:35.796843
15,2018-12-03 21:21:36.580974,2018-12-03 21:21:36.788936
16,2018-12-03 21:21:37.123283,2018-12-03 21:21:37.522882
17,2018-12-03 21:21:38.580709,2018-12-03 21:21:39.108974
18,2018-12-03 21:21:39.320880,2018-12-03 21:21:39.508337
19,2018-12-03 21:21:40.096968,2018-12-03 21:21:40.308974
20,2018-12-03 21:21:41.028356,2018-12-03 21:21:41.171906
21,2018-12-03 21:21:41.957273,2018-12-03 21:21:42.620794
22,2018-12-03 21:21:42.691976,2018-12-03 21:21:43.029393
23,2018-12-03 21:21:43.092730,2018-12-03 21:21:43.828128
24,2018-12-03 21:21:49.525202,2018-12-03 21:21:49.604719
25,2018-12-03 21:21:50.388202,2018-12-03 21:21:51.124193
26,2018-12-03 21:21:51.396670,2018-12-03 21:21:52.108862
27,2018-12-03 21:21:52.449138,2018-12-03 21:21:52.778703
28,2018-12-03 21:21:52.918344,2018-12-03 21:21:53.251678
29,2018-12-03 21:21:53.572029,2018-12-03 21:21:53.843847
30,2018-12-03 21:21:53.908222,2018-12-03 21:21:53.972452
31,2018-12-03 21:21:54.120176,2018-12-03 21:21:54.372976
32,2018-12-03 21:21:54.701313,2018-12-03 21:21:54.980976
33,2018-12-03 21:21:55.046242,2018-12-03 21:21:55.236415
34,2018-12-03 21:21:55.293972,2018-12-03 21:21:55.573183
35,2018-12-03 21:21:55.971978,2018-12-03 21:21:56.157155
36,2018-12-03 21:21:56.228296,2018-12-03 21:21:56.306569
37,2018-12-03 21:21:59.955994,2018-12-03 21:22:00.604973
38,2018-12-03 21:22:02.083611,2018-12-03 21:22:02.548140
39,2018-12-03 21:22:02.743978,2018-12-03 21:22:02.803979
40,2018-12-03 21:22:03.668818,2018-12-03 21:22:04.532912
41,2018-12-03 21:22:06.124047,2018-12-03 21:22:07.379531
